0,No,Field,StarID,RA,Decl,X,Y,V,V_I,I,Vsig,Isig,B_V,B,Bsig
1,1,LMC_SC10,54575,5.166406,-68.91733,17.95,6158.57,12.971,-0.097,13.068,0.081,0.080,,,
2,2,LMC_SC10,54576,5.166961,-68.90247,43.36,6287.85,12.428,0.503,11.923,0.027,0.017,,,
3,3,LMC_SC10,54581,5.166764,-68.89619,33.73,6342.51,14.034,-0.162,14.197,0.012,0.014,,,
4,4,LMC_SC10,54582,5.168169,-68.89422,99.79,6360.04,14.163,0.390,13.772,0.013,0.010,0.254,14.418,0.017
5,5,LMC_SC10,54583,5.166239,-68.88875,8.72,6407.15,15.556,1.454,14.100,0.047,0.027,,,
6,6,LMC_SC10,54591,5.166114,-68.91042,3.93,6218.57,14.839,-0.125,14.965,0.036,0.023,,,
7,7,LMC_SC10,54592,5.168486,-68.90778,115.26,6242.23,16.350,1.459,14.889,0.027,0.019,1.411,17.770,0.041
8,8,LMC_SC10,54596,5.166744,-68.89903,33.07,6317.85,14.460,-0.105,14.565,0.020,0.015,,,
9,9,LMC_SC10,54597,5.166383,-68.89692,15.94,6336.06,16.473,1.556,14.916,0.010,0.015,,,
10,10,LMC_SC10,54599,5.166803,-68.89442,35.54,6358.01,15.983,0.804,15.178,0.019,0.014,,,
11,11,LMC_SC10,54600,5.166500,-68.89103,21.13,6387.48,14.940,0.097,14.842,0.010,0.021,,,
12,12,LMC_SC10,54604,5.167194,-68.88481,53.50,6441.81,15.912,0.846,15.065,0.021,0.014,,,
13,13,LMC_SC10,54615,5.167881,-68.91722,87.32,6159.92,15.735,0.056,15.678,0.255,0.138,-0.503,15.228,0.135
14,14,LMC_SC10,54621,5.167667,-68.91036,76.89,6219.40,15.603,-0.113,15.718,0.022,0.024,-0.107,15.495,0.046
15,15,LMC_SC10,54622,5.167258,-68.90944,57.62,6227.43,17.523,2.218,15.303,0.041,0.019,1.998,19.535,0.185
16,16,LMC_SC10,54623,5.166856,-68.90925,38.80,6228.93,15.183,-0.121,15.304,0.030,0.037,,,
17,17,LMC_SC10,54624,5.168244,-68.90903,103.95,6231.20,15.552,0.261,15.291,0.037,0.038,-0.022,15.531,0.036
18,18,LMC_SC10,54627,5.166133,-68.90481,4.61,6267.50,15.082,-0.113,15.197,0.038,0.035,,,
19,19,LMC_SC10,54629,5.168447,-68.90261,113.28,6287.04,15.209,-0.081,15.291,0.054,0.045,-0.174,15.034,0.039
20,20,LMC_SC10,54630,5.167703,-68.90222,78.22,6290.44,17.580,2.023,15.555,0.027,0.021,1.778,19.370,0.229
21,21,LMC_SC10,54631,5.168728,-68.90231,126.42,6289.78,17.011,1.525,15.484,0.047,0.014,1.832,18.855,0.283
22,22,LMC_SC10,54632,5.168178,-68.90164,100.50,6295.60,17.236,1.414,15.820,0.017,0.013,1.425,18.670,0.045
23,23,LMC_SC10,54639,5.168350,-68.89372,108.25,6364.34,16.616,0.839,15.777,0.044,0.020,0.467,17.087,0.066
24,24,LMC_SC10,54641,5.167922,-68.89158,88.02,6383.06,16.270,0.742,15.528,0.251,0.151,0.648,16.922,0.353
25,25,LMC_SC10,54643,5.167300,-68.89097,58.80,6388.15,17.297,1.373,15.922,0.019,0.012,1.522,18.829,0.056
26,26,LMC_SC10,54645,5.166603,-68.88706,25.80,6422.06,16.882,1.583,15.299,0.026,0.019,,,
27,27,LMC_SC10,54647,5.167956,-68.88639,89.40,6428.06,16.617,0.978,15.639,0.013,0.015,0.816,17.439,0.020
28,28,LMC_SC10,54674,5.168269,-68.91797,105.52,6153.35,18.948,1.960,16.986,0.042,0.025,1.957,20.918,0.227
29,29,LMC_SC10,54676,5.168117,-68.91703,98.42,6161.72,18.076,1.213,16.860,0.031,0.025,1.176,19.258,0.091
30,30,LMC_SC10,54682,5.168006,-68.91292,92.89,6197.41,16.231,-0.149,16.380,0.013,0.020,-0.137,16.093,0.021
31,31,LMC_SC10,54684,5.166558,-68.91158,24.91,6208.47,16.379,-0.061,16.441,0.030,0.025,,,
32,32,LMC_SC10,54687,5.166428,-68.91125,18.67,6211.38,17.964,1.108,16.855,0.047,0.028,,,
33,33,LMC_SC10,54692,5.166783,-68.90894,35.32,6231.54,17.491,1.288,16.202,0.104,0.031,,,
34,34,LMC_SC10,54698,5.167275,-68.90747,58.36,6244.48,16.416,-0.098,16.513,0.025,0.030,-0.102,16.314,0.056
35,35,LMC_SC10,54699,5.168533,-68.90578,117.47,6259.71,17.825,1.147,16.677,0.031,0.020,1.093,18.925,0.052
36,36,LMC_SC10,54706,5.166436,-68.90389,18.70,6275.58,16.599,-0.035,16.634,0.013,0.022,,,
37,37,LMC_SC10,54713,5.166575,-68.90247,25.27,6287.75,17.647,1.200,16.446,0.026,0.019,,,
38,38,LMC_SC10,54714,5.166822,-68.90256,36.81,6287.20,18.913,0.660,18.252,0.215,0.246,,,
39,39,LMC_SC10,54715,5.166903,-68.90225,40.57,6289.79,,,17.251,,0.685,,,
40,40,LMC_SC10,54716,5.167106,-68.90206,50.09,6291.55,17.815,1.192,16.622,0.107,0.074,,,
41,41,LMC_SC10,54717,5.166606,-68.90181,26.68,6293.69,16.608,0.077,16.532,0.050,0.037,,,
42,42,LMC_SC10,54721,5.167583,-68.90142,72.57,6297.39,17.096,0.654,16.441,0.019,0.017,0.500,17.599,0.023
43,43,LMC_SC10,54725,5.168633,-68.89936,121.88,6315.51,17.592,1.170,16.421,0.021,0.015,1.166,18.766,0.037
44,44,LMC_SC10,54729,5.167742,-68.89531,79.77,6350.48,17.626,0.963,16.662,0.017,0.018,0.919,18.552,0.034
45,45,LMC_SC10,54732,5.168650,-68.89411,122.37,6361.25,18.432,1.491,16.939,0.020,0.027,1.277,19.717,0.079
46,46,LMC_SC10,54738,5.167697,-68.89119,77.39,6386.22,17.952,1.053,16.898,0.064,0.019,1.429,19.390,0.096
